投资金额及投资人,投资金额：1200万美元投资人：__及其关联基金
股份类别,B轮优先股
资本结构,公司经全面摊薄的融资后估值为7500万美元。在B轮融资前，公司已经预留融资后全面摊薄基础上[    ]%的股份作为员工期权。员工期权的授予将由董事会薪酬委员会决定，且不应摊薄投资人在公司的股权。投资人将以在融资后估值为7500万元向公司增资1200万美元取得公司（或其对应境外结构）16%的股权；同时，投资人与天使投资人以协商的价格购买增资后天使投资人持有公司（或其对应境外结构）2%的股份。在B轮融资完成后，投资人将在全面摊薄的基础上持有公司18%的股权，公司的股权结构如下：股东股权比例创始人ESOP【】%投资人2%（自天使投资人受让老股）16%(认购新股)如果上述投资自本主要条款签字之日起30个自然日内最终无法完成，公司与创始人承诺投资人可以直接以增资1350万元的形式最终拥有公司（或其对应境外结构）18%的股权。
过桥贷款,本主要条款签署后十个工作日内，投资人将与公司签订总额为300万美元过桥贷款协议。创始人/公司需为上述贷款提供适当担保。
交割条件,本主要条款不构成对投资人有法律约束力的承诺，投资人的义务需取决于以下先决条件的实现：(i) 最终的法律文件令投资人满意；(ii)公司重组完成； (iii) 公司已经与关键管理层和人员（由投资人选定）签订格式和内容令投资人满意的劳动合同及专有信息和发明协议；(iv) 公司法律顾问出具格式和内容令投资人满意的法律意见书；(v)其他投资人惯常要求的条件。
回购权,在以下任何较早的时间：(i) 公司在交割后5年未能进行合格IPO；(ii) 任何法律环境的重大不利变化导致VIE安排无效（如适用）；或（iii）任何公司及/或创始人实质性的违约，则任何B轮优先股股东有权要求公司回购全部或部分该股东所持有的B轮优先股，回购价格应等于B轮优先股的认购价格加B轮优先股股东的全部已宣派的未付股息，不满一年的按比例计算，加自交割日到B轮优先股被回购期间每年10%复利计算的固定回报。
清算优先权,如果公司清算或解散，B轮优先股股东有权优先于A轮优先股及普通股股东收到120%的认购价格加全部已宣派的未付股息。在B轮优先股取得前述分配后，可以继续按照B轮优先股全部转换为普通股后的持股比例分配公司剩余的资产。公司被并购或实质性出售全部资产导致公司股东不再持有存续公司多数股权应被认定为清算。
股份兑现计划,创始人的股份应受制于行权期，并从交割日起每个月可以行权1/48，4年行权完毕。如果公司在合格IPO之前被收购或兼并，且收购方不继承对创始人的回购权，或者发生合格IPO，或创始人无理由被解雇，则创始人的全部普通股应加速行权。员工期权应由董事会薪酬委员会决定。除非董事会另行批准，员工股份或期权应在授予后第一年底行使25%，并在此后每个月行使1/48，供四年行使完毕。
董事会,董事会应由4名董事组成。投资人应有权选派1名董事（“投资人董事”）。投资人还应有权选派1名董事会观察员。根据投资人的要求，公司的子公司和关联企业的董事会应调整为与公司董事会组成相同。
费用,如果交易成功，公司应向投资人支付合理的聘请财务和法律顾问进行尽职调查等交易有关服务的费用，该费用不超过4万美元。如果公司或创始人终止本主要条款项下的交易，公司仍应向投资人支付合理的聘请财务和法律顾问进行尽职调查等交易有关服务的费用，该费用不超过4万美元。
保密,除非适用法律要求，本主要条款约定的内容，包括本主要条款本身均为保密信息且不得向第三方披露。如果任何一方决定其需要按法律要求披露本主要条款或向证券交易所，有权部门或政府机关提交本主要条款，其应当在进行披露或提交前的合理期限内，征询其他方的意见，并在可能的范围内，寻求该等披露和提交按照其他方的要求进行保密。
