目标公司	【西安飞时光电科技有限公司】
投资人	【高捷资本】
投资金额	投资人将以【10,000,000】元人民币对公司进行增资，增资后占完全稀释（含员工期权、认股权证，若有）后【20】%的股权。
估值	投资前的公司估值为【40,000,000】元；投资后的公司估值为【50,000,000】元。
募集资金使用	上述募集资金将仅能用于与公司业务直接相关的用途。上述募集资金不得用于偿还或解决目标公司对其股东、董事、雇员或与上述各方有任何关联的其他公司或人员应偿还的债务。
反稀释条款	在公司首次公开发行上市前，若公司在本轮投资交割后以低于本轮投资的估值价格新发任何股权或股份，那么本轮投资的价格将相应调整为新发股权或股份的价格与本轮价格的广义加权平均值。
优先受让权和共同出售权	在公司首次公开发行上市前，投资人享有优先受让权和共同出售权，任何欲向第三方出售全部或部分股权或股份的其他股东须首先允许投资人选择，(i) 以与拟受让人同等的条款购买全部或部分该股权或股份，或(ii)以同等条款按比例向拟受让人出售股权或股份。
优先认购权	公司首次公开发行上市前，如公司拟增发新的股权或股份，投资人将有权按出资比例以相同价格和条款全部或部分认购拟增发的新股权或股份。
股份转让限制	在公司首次公开发行前，未经投资人书面同意，第一大股东和管理层股东将不得以任何形式直接或间接转让、抵押或质押其拥有的公司股权或股份。
知情权	公司首次公开发行上市前，公司需向投资人提供月度、季度、年度报表及相关财务信息。【XL:请公司确认能否提供约定财报】
董事会	投资人向董事会委派【1】名董事。
保护性条款	公司首次公开发行上市前，公司股东会和董事会的重要事项须经投资方或其委派的董事同意。
优先清算权	在公司首次公开发行上市前，如果公司发生清算(含公司并购、出售)、解散或结束营业的情况，则投资人有权获得原投资金额的【1.2】倍，或与其他股东同时按照股权（股份）比例对公司剩余财产进行分配，依据孰高原则，取两者之一。【XL:清算金额通常1-2倍是常见的，先改到1.2倍，谈判时如果需要可让步到1.5倍，2倍还是有点高。】
回购权	若增资完成之日起的五年内公司仍未完成首次公开发行上市，则投资人有权要求公司股东回购投资人的股权，回购的价格为投资金额的【1.2】倍。尽管有上述约定，公司股东承担回购责任应以其届时持有的公司股权的套现价值为限。【XL:请公司确认回购期限，通常4-7年都是正常的。回购金额通常1-2倍是常见的，先改到1.2倍，谈判时如果需要可让步到1.5倍，2倍还是有点高。】
最惠国待遇	本轮投资人的权利（包括但不限于优先清算权、回购权）优先于公司之前各轮投资人的权利；如果公司与之前投资人之间的约定优于本意向书的条款，则投资人有权要求适用更优惠的约定。
费用	若交割完成，公司应承担投资人因本次投资事宜而合理产生的最高【5】万元人民币的第三方中介机构财务审计、法律事务调查的费用,超过部分由投资人承担；若交割未能成功完成，则由公司和投资人自行承担各自发生的费用。
排他性条款	在本条款签署后的【230】天内（简称“排他期”），公司、现有股东不得与除投资人外的投资者洽谈、介绍、谈判对公司的投资以及股权转让事宜。
保密条款	本投资意向书规定的条款和条件，包括本投资意向书的存在，以及关于公司的信息均为保密信息，除非适用法律或股票交易所要求，不得向任何第三方披露。上述限制不适用于公司或投资人的员工、会计师、律师及其他专业顾问（因其需要获知相关信息）。
